time_s,pos,setpoint,error,p_term,i_term,d_term,pid_out,velocity,motor_pos,kp,ki,kd,deadband,lead_ms,lag_ms,integral_accum,ball_px_x,ball_px_y,ball_radius,auto,integral_on,leadlag_on
0.0508,0.9718,0.5000,0.4718,188.73,0.31,71487.11,8000.0,-24816.8,0.0,400.0,20.0,5000.0,0.0010,500,150,0.015570,621,242,23,0,1,1
0.1097,0.9718,0.5000,0.4718,188.73,0.87,0.00,189.6,2744.9,0.0,400.0,20.0,5000.0,0.0010,500,150,0.043386,621,242,23,0,1,1
0.1572,0.9718,0.5000,0.4718,188.73,1.32,0.00,190.0,2161.9,0.0,400.0,20.0,5000.0,0.0010,500,150,0.065825,621,242,23,0,1,1
0.1959,0.9721,0.5000,0.4721,188.85,1.68,39.01,229.5,1573.2,0.0,400.0,20.0,5000.0,0.0010,500,150,0.084106,622,242,23,0,1,1
0.2330,0.9718,0.5000,0.4718,188.73,2.03,-40.76,150.0,1462.7,0.0,400.0,20.0,5000.0,0.0010,500,150,0.101594,621,242,23,0,1,1
0.2665,0.9718,0.5000,0.4718,188.73,2.35,0.00,191.1,1015.6,0.0,400.0,20.0,5000.0,0.0010,500,150,0.117411,621,242,23,0,1,1
0.3018,0.9718,0.5000,0.4718,188.73,2.68,0.00,191.4,775.4,0.0,400.0,20.0,5000.0,0.0010,500,150,0.134026,621,242,23,0,1,1
0.3699,0.9718,0.5000,0.4718,188.73,3.32,0.00,192.0,581.8,0.0,400.0,20.0,5000.0,0.0010,500,150,0.166187,621,242,23,0,1,1
0.4335,0.9721,0.5000,0.4721,188.85,3.92,23.76,216.5,352.5,0.0,400.0,20.0,5000.0,0.0010,500,150,0.196207,622,242,23,0,1,1
0.5019,0.9718,0.5000,0.4718,188.73,4.57,-22.08,171.2,380.3,0.0,400.0,20.0,5000.0,0.0010,500,150,0.228486,621,242,23,0,1,1
0.5708,0.9718,0.5000,0.4718,188.73,5.22,0.00,193.9,200.5,0.0,400.0,20.0,5000.0,0.0010,500,150,0.260967,621,242,23,0,1,1
0.6339,0.9721,0.5000,0.4721,188.85,5.82,23.93,218.6,45.8,0.0,400.0,20.0,5000.0,0.0010,500,150,0.290766,622,242,23,0,1,1
0.7033,0.9718,0.5000,0.4718,188.73,6.47,-21.76,173.4,133.5,0.0,400.0,20.0,5000.0,0.0010,500,150,0.323515,621,242,23,0,1,1
0.7619,0.9718,0.5000,0.4718,188.73,7.02,0.00,195.7,3.5,0.0,400.0,20.0,5000.0,0.0010,500,150,0.351150,621,242,23,0,1,1
0.8300,0.9718,0.5000,0.4718,188.73,7.67,0.00,196.4,-38.0,0.0,400.0,20.0,5000.0,0.0010,500,150,0.383317,621,242,23,0,1,1
0.8976,0.9718,0.5000,0.4718,188.73,8.30,0.00,197.0,-71.4,0.0,400.0,20.0,5000.0,0.0010,500,150,0.415169,621,242,23,0,1,1
0.9609,0.9718,0.5000,0.4718,188.73,8.90,0.00,197.6,-98.1,0.0,400.0,20.0,5000.0,0.0010,500,150,0.445084,621,242,23,0,1,1
1.0296,0.9718,0.5000,0.4718,188.73,9.55,0.00,198.3,-119.9,0.0,400.0,20.0,5000.0,0.0010,500,150,0.477448,621,242,23,0,1,1
1.0949,0.9721,0.5000,0.4721,188.85,10.17,23.12,222.1,-209.4,0.0,400.0,20.0,5000.0,0.0010,500,150,0.508290,622,242,23,0,1,1
1.1617,0.9721,0.5000,0.4721,188.85,10.80,0.00,199.6,-142.2,0.0,400.0,20.0,5000.0,0.0010,500,150,0.539838,622,242,23,0,1,1
1.2265,0.9718,0.5000,0.4718,188.73,11.41,-23.30,176.8,-82.8,0.0,400.0,20.0,5000.0,0.0010,500,150,0.570424,621,242,23,0,1,1
1.2958,0.9721,0.5000,0.4721,188.85,12.06,21.80,222.7,-243.7,0.0,400.0,20.0,5000.0,0.0010,500,150,0.603145,622,242,23,0,1,1
1.3611,0.9718,0.5000,0.4718,188.73,12.68,-23.15,178.3,-101.7,0.0,400.0,20.0,5000.0,0.0010,500,150,0.633933,621,242,23,0,1,1
1.4248,0.9718,0.5000,0.4718,188.73,13.28,0.00,202.0,-190.5,0.0,400.0,20.0,5000.0,0.0010,500,150,0.663990,621,242,23,0,1,1
1.4935,0.9718,0.5000,0.4718,188.73,13.93,0.00,202.7,-194.8,0.0,400.0,20.0,5000.0,0.0010,500,150,0.696401,621,242,23,0,1,1
1.5588,0.9718,0.5000,0.4718,188.73,14.54,0.00,203.3,-198.3,0.0,400.0,20.0,5000.0,0.0010,500,150,0.727213,621,242,23,0,1,1
1.6271,0.9721,0.5000,0.4721,188.85,15.19,22.12,226.2,-270.3,0.0,400.0,20.0,5000.0,0.0010,500,150,0.759451,622,242,23,0,1,1
1.6951,0.9718,0.5000,0.4718,188.73,15.83,-22.20,182.4,-125.7,0.0,400.0,20.0,5000.0,0.0010,500,150,0.791559,621,242,23,0,1,1
1.7591,0.9718,0.5000,0.4718,188.73,16.44,0.00,205.2,-207.6,0.0,400.0,20.0,5000.0,0.0010,500,150,0.821750,621,242,23,0,1,1
1.8287,0.9718,0.5000,0.4718,188.73,17.09,0.00,205.8,-209.2,0.0,400.0,20.0,5000.0,0.0010,500,150,0.854610,621,242,23,0,1,1
1.8903,0.9718,0.5000,0.4718,188.73,17.67,0.00,206.4,-210.3,0.0,400.0,20.0,5000.0,0.0010,500,150,0.883666,621,242,23,0,1,1
1.9579,0.9721,0.5000,0.4721,188.85,18.31,22.36,229.5,-281.2,0.0,400.0,20.0,5000.0,0.0010,500,150,0.915566,622,242,23,0,1,1
2.0233,0.9721,0.5000,0.4721,188.85,18.93,0.00,207.8,-203.6,0.0,400.0,20.0,5000.0,0.0010,500,150,0.946413,622,242,23,0,1,1
2.0903,0.9720,0.5000,0.4720,188.81,0.31,71517.24,8000.0,-24816.8,-1663.4,400.0,20.0,5000.0,0.0010,500,150,0.015576,622,242,23,1,1,1
2.1579,0.9718,0.5000,0.4718,188.73,0.95,-14.72,175.0,2790.3,-1474.8,400.0,20.0,5000.0,0.0010,500,150,0.047434,621,242,23,1,1,1
2.2224,0.9713,0.5000,0.4713,188.53,1.56,-37.23,152.9,2271.2,-1328.3,400.0,20.0,5000.0,0.0010,500,150,0.077865,621,241,23,1,1,1
2.2901,0.9717,0.5000,0.4717,188.66,2.20,23.63,214.5,1599.5,-1219.9,400.0,20.0,5000.0,0.0010,500,150,0.109838,621,241,23,1,1,1
2.3584,0.9709,0.5000,0.4709,188.38,2.84,-52.30,138.9,1474.4,-1119.3,400.0,20.0,5000.0,0.0010,500,150,0.141953,621,241,23,1,1,1
2.4219,0.9698,0.5000,0.4698,187.93,3.44,-86.90,104.5,1261.5,-1039.1,400.0,20.0,5000.0,0.0010,500,150,0.171831,620,242,23,1,1,1
2.4909,0.9695,0.5000,0.4695,187.81,4.08,-22.12,169.8,788.2,-984.8,400.0,20.0,5000.0,0.0010,500,150,0.204188,620,243,23,1,1,1
2.5548,0.9678,0.5000,0.4678,187.11,4.68,-136.56,55.2,953.6,-923.9,400.0,20.0,5000.0,0.0010,500,150,0.234063,619,244,23,1,1,1
2.6220,0.9665,0.5000,0.4665,186.58,5.31,-98.61,93.3,635.7,-881.1,400.0,20.0,5000.0,0.0010,500,150,0.265462,618,245,23,1,1,1
2.6903,0.9648,0.5000,0.4648,185.94,5.94,-118.37,73.5,552.5,-843.4,400.0,20.0,5000.0,0.0010,500,150,0.297187,617,245,23,1,1,1
2.7548,0.9644,0.5000,0.4644,185.76,6.54,-34.99,157.3,168.5,-832.5,400.0,20.0,5000.0,0.0010,500,150,0.327141,617,246,23,1,1,1
2.8230,0.9635,0.5000,0.4635,185.41,7.18,-64.03,128.6,193.1,-819.3,400.0,20.0,5000.0,0.0010,500,150,0.358752,616,246,23,1,1,1
2.8871,0.9632,0.5000,0.4632,185.28,7.77,-24.95,168.1,6.7,-818.9,400.0,20.0,5000.0,0.0010,500,150,0.388442,616,246,24,1,1,1
2.9553,0.9626,0.5000,0.4626,185.05,8.40,-41.55,151.9,22.3,-817.4,400.0,20.0,5000.0,0.0010,500,150,0.419965,616,247,24,1,1,1
3.0231,0.9636,0.5000,0.4636,185.42,9.03,68.22,262.7,-355.8,-841.5,400.0,20.0,5000.0,0.0010,500,150,0.451432,616,246,23,1,1,1
3.0872,0.9636,0.5000,0.4636,185.43,9.62,1.35,196.4,-131.8,-850.0,400.0,20.0,5000.0,0.0010,500,150,0.481137,616,247,24,1,1,1
3.1556,0.9644,0.5000,0.4644,185.76,10.26,59.70,255.7,-328.6,-872.5,400.0,20.0,5000.0,0.0010,500,150,0.512874,617,247,23,1,1,1
3.2179,0.9650,0.5000,0.4650,185.99,10.84,47.34,244.2,-278.3,-889.8,400.0,20.0,5000.0,0.0010,500,150,0.541863,617,246,23,1,1,1
3.2864,0.9665,0.5000,0.4665,186.62,11.48,114.22,312.3,-483.0,-922.9,400.0,20.0,5000.0,0.0010,500,150,0.573839,618,246,23,1,1,1
3.3504,0.9675,0.5000,0.4675,186.98,12.08,71.19,270.3,-318.7,-943.3,400.0,20.0,5000.0,0.0010,500,150,0.603774,619,246,23,1,1,1
3.4183,0.9692,0.5000,0.4692,187.68,12.71,128.74,329.1,-491.7,-976.7,400.0,20.0,5000.0,0.0010,500,150,0.635614,620,246,23,1,1,1
3.4868,0.9702,0.5000,0.4702,188.09,13.36,73.72,275.2,-292.1,-996.7,400.0,20.0,5000.0,0.0010,500,150,0.667822,620,246,23,1,1,1
3.5508,0.9717,0.5000,0.4717,188.66,13.96,112.16,314.8,-411.6,-1023.0,400.0,20.0,5000.0,0.0010,500,150,0.698043,621,245,23,1,1,1
3.6184,0.9721,0.5000,0.4721,188.85,14.60,34.41,237.9,-153.8,-1033.4,400.0,20.0,5000.0,0.0010,500,150,0.729946,622,245,23,1,1,1
3.6827,0.9718,0.5000,0.4718,188.73,15.21,-23.72,180.2,8.4,-1032.9,400.0,20.0,5000.0,0.0010,500,150,0.760264,621,245,23,1,1,1
3.7508,0.9713,0.5000,0.4713,188.53,15.85,-35.29,169.1,5.5,-1032.5,400.0,20.0,5000.0,0.0010,500,150,0.792367,621,244,23,1,1,1
3.8185,0.9713,0.5000,0.4713,188.53,16.49,0.00,205.0,-140.6,-1042.0,400.0,20.0,5000.0,0.0010,500,150,0.824263,621,244,23,1,1,1
3.8833,0.9705,0.5000,0.4705,188.21,17.09,-62.67,142.6,40.2,-1039.4,400.0,20.0,5000.0,0.0010,500,150,0.854750,621,245,23,1,1,1
3.9494,0.9702,0.5000,0.4702,188.09,17.72,-23.04,182.8,-120.5,-1047.4,400.0,20.0,5000.0,0.0010,500,150,0.885861,620,245,23,1,1,1
4.0135,0.9698,0.5000,0.4698,187.93,18.32,-29.73,176.5,-113.5,-1054.7,400.0,20.0,5000.0,0.0010,500,150,0.915977,620,244,23,1,1,1
4.0808,0.9693,0.5000,0.4693,187.74,18.95,-36.81,169.9,-105.4,-1061.8,400.0,20.0,5000.0,0.0010,500,150,0.947562,620,244,23,1,1,1
4.1494,0.9685,0.5000,0.4685,187.38,19.59,-64.83,142.1,-32.1,-1064.0,400.0,20.0,5000.0,0.0010,500,150,0.979657,619,244,23,1,1,1
4.2135,0.9676,0.5000,0.4676,187.05,20.00,-64.58,142.5,-54.9,-1067.5,400.0,20.0,5000.0,0.0010,500,150,1.000000,619,244,23,1,1,1
4.2817,0.9669,0.5000,0.4669,186.77,20.00,-51.99,154.8,-110.5,-1075.0,400.0,20.0,5000.0,0.0010,500,150,1.000000,618,244,23,1,1,1
4.3455,0.9652,0.5000,0.4652,186.09,20.00,-132.25,73.8,131.8,-1066.6,400.0,20.0,5000.0,0.0010,500,150,1.000000,617,244,23,1,1,1
4.4135,0.9645,0.5000,0.4645,185.78,20.00,-56.22,149.6,-143.9,-1076.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,617,244,24,1,1,1
4.4832,0.9639,0.5000,0.4639,185.54,20.00,-43.81,161.7,-182.7,-1089.2,400.0,20.0,5000.0,0.0010,500,150,1.000000,616,244,23,1,1,1
4.5460,0.9625,0.5000,0.4625,184.98,20.00,-111.49,93.5,33.1,-1087.1,400.0,20.0,5000.0,0.0010,500,150,1.000000,615,244,24,1,1,1
4.6137,0.9617,0.5000,0.4617,184.69,20.00,-54.01,150.7,-169.4,-1098.5,400.0,20.0,5000.0,0.0010,500,150,1.000000,615,244,24,1,1,1
4.6768,0.9612,0.5000,0.4612,184.49,20.00,-38.75,165.7,-212.4,-1111.9,400.0,20.0,5000.0,0.0010,500,150,1.000000,615,244,24,1,1,1
4.7502,0.9606,0.5000,0.4606,184.26,20.00,-40.33,163.9,-197.5,-1126.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,614,244,24,1,1,1
4.8138,0.9603,0.5000,0.4603,184.10,20.00,-30.38,173.7,-221.3,-1140.5,400.0,20.0,5000.0,0.0010,500,150,1.000000,614,244,24,1,1,1
4.8777,0.9601,0.5000,0.4601,184.02,20.00,-14.95,189.1,-259.4,-1157.1,400.0,20.0,5000.0,0.0010,500,150,1.000000,614,243,24,1,1,1
4.9458,0.9598,0.5000,0.4598,183.93,20.00,-17.56,186.4,-237.1,-1173.2,400.0,20.0,5000.0,0.0010,500,150,1.000000,614,244,24,1,1,1
5.0103,0.9582,0.5000,0.4582,183.28,20.00,-126.16,77.1,111.8,-1166.0,400.0,20.0,5000.0,0.0010,500,150,1.000000,613,243,23,1,1,1
5.0780,0.9571,0.5000,0.4571,182.85,20.00,-78.39,124.5,-72.5,-1170.9,400.0,20.0,5000.0,0.0010,500,150,1.000000,612,243,23,1,1,1
5.1461,0.9573,0.5000,0.4573,182.91,20.00,9.98,212.9,-357.1,-1195.2,400.0,20.0,5000.0,0.0010,500,150,1.000000,612,243,23,1,1,1
5.2087,0.9597,0.5000,0.4597,183.88,20.00,194.76,398.6,-904.7,-1251.9,400.0,20.0,5000.0,0.0010,500,150,1.000000,614,243,24,1,1,1
5.2771,0.9599,0.5000,0.4599,183.96,20.00,14.00,218.0,-243.9,-1268.6,400.0,20.0,5000.0,0.0010,500,150,1.000000,614,243,24,1,1,1
5.3430,0.9600,0.5000,0.4600,183.99,20.00,4.84,208.8,-210.5,-1282.5,400.0,20.0,5000.0,0.0010,500,150,1.000000,614,243,24,1,1,1
5.4106,0.9581,0.5000,0.4581,183.22,20.00,-140.60,62.6,243.4,-1266.0,400.0,20.0,5000.0,0.0010,500,150,1.000000,613,243,23,1,1,1
5.4779,0.9568,0.5000,0.4568,182.73,20.00,-92.14,110.6,34.0,-1263.7,400.0,20.0,5000.0,0.0010,500,150,1.000000,612,242,23,1,1,1
5.5421,0.9565,0.5000,0.4565,182.60,20.00,-25.09,177.5,-202.3,-1276.7,400.0,20.0,5000.0,0.0010,500,150,1.000000,612,242,23,1,1,1
5.6095,0.9548,0.5000,0.4548,181.94,20.00,-123.00,78.9,108.4,-1269.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,611,243,23,1,1,1
5.6740,0.9536,0.5000,0.4536,181.43,20.00,-97.47,104.0,-6.4,-1269.8,400.0,20.0,5000.0,0.0010,500,150,1.000000,610,242,23,1,1,1
5.7415,0.9516,0.5000,0.4516,180.62,20.00,-149.55,51.1,138.4,-1260.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,609,242,23,1,1,1
5.8064,0.9497,0.5000,0.4497,179.90,20.00,-140.58,59.3,75.3,-1255.5,400.0,20.0,5000.0,0.0010,500,150,1.000000,607,242,23,1,1,1
5.8739,0.9477,0.5000,0.4477,179.06,20.00,-154.18,44.9,93.4,-1249.2,400.0,20.0,5000.0,0.0010,500,150,1.000000,606,242,23,1,1,1
5.9413,0.9453,0.5000,0.4453,178.12,20.00,-174.10,24.0,130.7,-1240.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,605,242,23,1,1,1
6.0057,0.9433,0.5000,0.4433,177.32,20.00,-155.56,41.8,45.0,-1237.5,400.0,20.0,5000.0,0.0010,500,150,1.000000,603,242,23,1,1,1
6.0731,0.9407,0.5000,0.4407,176.29,20.00,-191.32,5.0,141.9,-1228.0,400.0,20.0,5000.0,0.0010,500,150,1.000000,602,243,23,1,1,1
6.1372,0.9377,0.5000,0.4377,175.06,20.00,-239.64,-44.6,266.5,-1210.9,400.0,20.0,5000.0,0.0010,500,150,1.000000,600,242,23,1,1,1
6.2059,0.9345,0.5000,0.4345,173.79,20.00,-231.40,-37.6,200.9,-1197.1,400.0,20.0,5000.0,0.0010,500,150,1.000000,598,242,23,1,1,1
6.2732,0.9313,0.5000,0.4313,172.51,20.00,-238.53,-46.0,194.7,-1184.0,400.0,20.0,5000.0,0.0010,500,150,1.000000,596,242,23,1,1,1
6.3370,0.9273,0.5000,0.4273,170.90,20.00,-314.06,-123.2,404.5,-1158.2,400.0,20.0,5000.0,0.0010,500,150,1.000000,593,243,23,1,1,1
6.4052,0.9234,0.5000,0.4234,169.38,20.00,-280.10,-90.7,248.1,-1141.3,400.0,20.0,5000.0,0.0010,500,150,1.000000,591,242,23,1,1,1
6.4694,0.9195,0.5000,0.4195,167.81,20.00,-304.09,-116.3,296.2,-1122.3,400.0,20.0,5000.0,0.0010,500,150,1.000000,588,242,23,1,1,1
6.5368,0.9156,0.5000,0.4156,166.23,20.00,-293.91,-107.7,233.8,-1106.5,400.0,20.0,5000.0,0.0010,500,150,1.000000,585,243,23,1,1,1
6.6050,0.9113,0.5000,0.4113,164.51,20.00,-315.08,-130.6,279.9,-1087.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,583,243,23,1,1,1
6.6697,0.9070,0.5000,0.4070,162.81,20.00,-328.09,-145.3,295.9,-1068.3,400.0,20.0,5000.0,0.0010,500,150,1.000000,580,243,23,1,1,1
6.7375,0.9033,0.5000,0.4033,161.33,20.00,-272.86,-91.5,99.3,-1061.5,400.0,20.0,5000.0,0.0010,500,150,1.000000,578,244,23,1,1,1
6.8010,0.8986,0.5000,0.3986,159.43,20.00,-373.95,-194.5,417.2,-1035.1,400.0,20.0,5000.0,0.0010,500,150,1.000000,575,243,23,1,1,1
6.8711,0.8951,0.5000,0.3951,158.05,20.00,-247.23,-69.2,-15.7,-1036.1,400.0,20.0,5000.0,0.0010,500,150,1.000000,572,243,23,1,1,1
6.9383,0.8912,0.5000,0.3912,156.47,20.00,-292.78,-116.3,147.3,-1026.2,400.0,20.0,5000.0,0.0010,500,150,1.000000,570,244,23,1,1,1
7.0027,0.8874,0.5000,0.3874,154.96,20.00,-293.46,-118.5,148.0,-1016.7,400.0,20.0,5000.0,0.0010,500,150,1.000000,567,244,23,1,1,1
7.0690,0.8829,0.5000,0.3829,153.17,20.00,-337.01,-163.8,282.8,-998.0,400.0,20.0,5000.0,0.0010,500,150,1.000000,565,244,23,1,1,1
7.1337,0.8791,0.5000,0.3791,151.65,20.00,-293.40,-121.7,128.6,-989.7,400.0,20.0,5000.0,0.0010,500,150,1.000000,562,243,23,1,1,1
7.2017,0.8756,0.5000,0.3756,150.23,20.00,-261.71,-91.5,33.4,-987.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,560,244,23,1,1,1
7.2712,0.8720,0.5000,0.3720,148.78,20.00,-260.58,-91.8,45.9,-984.2,400.0,20.0,5000.0,0.0010,500,150,1.000000,558,245,23,1,1,1
7.3351,0.8688,0.5000,0.3688,147.51,20.00,-249.35,-81.8,24.1,-982.7,400.0,20.0,5000.0,0.0010,500,150,1.000000,556,244,23,1,1,1
7.4019,0.8649,0.5000,0.3649,145.97,20.00,-286.96,-121.0,157.0,-972.2,400.0,20.0,5000.0,0.0010,500,150,1.000000,553,245,22,1,1,1
7.4660,0.8614,0.5000,0.3614,144.57,20.00,-272.71,-108.1,110.0,-965.1,400.0,20.0,5000.0,0.0010,500,150,1.000000,551,244,22,1,1,1
7.5339,0.8586,0.5000,0.3586,143.43,20.00,-211.23,-47.8,-77.5,-970.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,549,244,22,1,1,1
7.6018,0.8555,0.5000,0.3555,142.19,20.00,-228.06,-65.9,3.3,-970.2,400.0,20.0,5000.0,0.0010,500,150,1.000000,547,244,22,1,1,1
7.6656,0.8527,0.5000,0.3527,141.08,20.00,-217.03,-56.0,-15.0,-971.1,400.0,20.0,5000.0,0.0010,500,150,1.000000,545,244,22,1,1,1
7.7342,0.8504,0.5000,0.3504,140.15,20.00,-170.37,-10.2,-142.8,-980.9,400.0,20.0,5000.0,0.0010,500,150,1.000000,544,244,22,1,1,1
7.7978,0.8475,0.5000,0.3475,139.00,20.00,-224.98,-66.0,60.5,-977.1,400.0,20.0,5000.0,0.0010,500,150,1.000000,542,244,22,1,1,1
7.8670,0.8447,0.5000,0.3447,137.87,20.00,-203.15,-45.3,-2.7,-977.2,400.0,20.0,5000.0,0.0010,500,150,1.000000,540,244,22,1,1,1
7.9303,0.8420,0.5000,0.3420,136.79,20.00,-215.48,-58.7,48.5,-974.2,400.0,20.0,5000.0,0.0010,500,150,1.000000,538,243,22,1,1,1
7.9975,0.8398,0.5000,0.3398,135.94,20.00,-157.51,-1.6,-126.7,-982.7,400.0,20.0,5000.0,0.0010,500,150,1.000000,537,244,22,1,1,1
8.0659,0.8367,0.5000,0.3367,134.69,20.00,-228.42,-73.7,122.6,-974.3,400.0,20.0,5000.0,0.0010,500,150,1.000000,535,244,22,1,1,1
8.1304,0.8336,0.5000,0.3336,133.44,20.00,-242.39,-89.0,160.1,-964.0,400.0,20.0,5000.0,0.0010,500,150,1.000000,533,244,22,1,1,1
8.1976,0.8312,0.5000,0.3312,132.48,20.00,-178.35,-25.9,-49.7,-967.3,400.0,20.0,5000.0,0.0010,500,150,1.000000,531,244,23,1,1,1
8.2612,0.8284,0.5000,0.3284,131.37,20.00,-217.11,-65.7,89.0,-961.7,400.0,20.0,5000.0,0.0010,500,150,1.000000,530,244,22,1,1,1
8.3300,0.8254,0.5000,0.3254,130.17,20.00,-218.24,-68.1,91.6,-955.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,528,244,23,1,1,1
8.3978,0.8223,0.5000,0.3223,128.93,20.00,-229.01,-80.1,124.2,-946.9,400.0,20.0,5000.0,0.0010,500,150,1.000000,526,244,22,1,1,1
8.4620,0.8194,0.5000,0.3194,127.77,20.00,-226.51,-78.7,111.3,-939.8,400.0,20.0,5000.0,0.0010,500,150,1.000000,524,243,23,1,1,1
8.5294,0.8163,0.5000,0.3163,126.50,20.00,-234.19,-87.7,132.6,-930.9,400.0,20.0,5000.0,0.0010,500,150,1.000000,522,243,22,1,1,1
8.5936,0.8131,0.5000,0.3131,125.25,20.00,-244.32,-99.1,159.0,-920.7,400.0,20.0,5000.0,0.0010,500,150,1.000000,520,244,22,1,1,1
8.6616,0.8098,0.5000,0.3098,123.94,20.00,-241.21,-97.3,141.6,-911.0,400.0,20.0,5000.0,0.0010,500,150,1.000000,518,244,22,1,1,1
8.7294,0.8059,0.5000,0.3059,122.38,20.00,-287.66,-145.3,281.7,-891.9,400.0,20.0,5000.0,0.0010,500,150,1.000000,515,244,22,1,1,1
8.7936,0.8026,0.5000,0.3026,121.04,20.00,-261.12,-120.1,176.5,-880.6,400.0,20.0,5000.0,0.0010,500,150,1.000000,513,243,22,1,1,1
8.8614,0.7992,0.5000,0.2992,119.69,20.00,-248.78,-109.1,131.2,-871.7,400.0,20.0,5000.0,0.0010,500,150,1.000000,511,244,22,1,1,1
8.9259,0.7953,0.5000,0.2953,118.12,20.00,-303.74,-165.6,302.2,-852.2,400.0,20.0,5000.0,0.0010,500,150,1.000000,508,244,23,1,1,1
8.9936,0.7914,0.5000,0.2914,116.56,20.00,-287.44,-150.9,229.4,-836.7,400.0,20.0,5000.0,0.0010,500,150,1.000000,506,243,22,1,1,1
9.0613,0.7880,0.5000,0.2880,115.19,20.00,-253.94,-118.7,114.2,-829.0,400.0,20.0,5000.0,0.0010,500,150,1.000000,504,244,22,1,1,1
9.1258,0.7845,0.5000,0.2845,113.78,20.00,-272.52,-138.7,177.1,-817.5,400.0,20.0,5000.0,0.0010,500,150,1.000000,502,244,22,1,1,1
9.1932,0.7810,0.5000,0.2810,112.39,20.00,-257.66,-125.3,127.7,-808.9,400.0,20.0,5000.0,0.0010,500,150,1.000000,499,244,22,1,1,1
9.2572,0.7777,0.5000,0.2777,111.09,20.00,-253.49,-122.4,118.3,-801.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,497,244,22,1,1,1
9.3254,0.7744,0.5000,0.2744,109.75,20.00,-246.60,-116.8,101.9,-794.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,495,243,22,1,1,1
9.3932,0.7711,0.5000,0.2711,108.44,20.00,-241.87,-113.4,94.3,-788.0,400.0,20.0,5000.0,0.0010,500,150,1.000000,493,244,22,1,1,1
9.4578,0.7685,0.5000,0.2685,107.39,20.00,-202.18,-74.8,-21.8,-789.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,491,244,22,1,1,1
9.5253,0.7654,0.5000,0.2654,106.17,20.00,-225.43,-99.3,73.2,-784.5,400.0,20.0,5000.0,0.0010,500,150,1.000000,489,244,22,1,1,1
9.5894,0.7633,0.5000,0.2633,105.31,20.00,-168.24,-42.9,-96.3,-790.6,400.0,20.0,5000.0,0.0010,500,150,1.000000,488,244,22,1,1,1
9.6574,0.7617,0.5000,0.2617,104.69,20.00,-114.81,9.9,-232.5,-806.5,400.0,20.0,5000.0,0.0010,500,150,1.000000,487,245,22,1,1,1
9.7257,0.7602,0.5000,0.2602,104.06,20.00,-114.38,9.7,-187.8,-819.3,400.0,20.0,5000.0,0.0010,500,150,1.000000,486,244,22,1,1,1
9.7901,0.7586,0.5000,0.2586,103.44,20.00,-121.40,2.0,-128.8,-827.6,400.0,20.0,5000.0,0.0010,500,150,1.000000,485,244,22,1,1,1
9.8581,0.7586,0.5000,0.2586,103.44,20.00,0.00,123.4,-480.3,-860.3,400.0,20.0,5000.0,0.0010,500,150,1.000000,485,245,22,1,1,1
9.9213,0.7577,0.5000,0.2577,103.09,20.00,-69.07,54.0,-194.2,-872.6,400.0,20.0,5000.0,0.0010,500,150,1.000000,484,244,22,1,1,1
9.9900,0.7566,0.5000,0.2566,102.64,20.00,-81.83,40.8,-125.4,-881.2,400.0,20.0,5000.0,0.0010,500,150,1.000000,484,243,22,1,1,1
10.0577,0.7566,0.5000,0.2566,102.65,20.00,1.19,123.8,-366.2,-906.0,400.0,20.0,5000.0,0.0010,500,150,1.000000,484,243,22,1,1,1
10.1215,0.7566,0.5000,0.2566,102.63,20.00,-3.33,119.3,-304.1,-925.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,484,243,22,1,1,1
10.1892,0.7570,0.5000,0.2570,102.79,20.00,29.67,152.5,-370.3,-950.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,484,243,22,1,1,1
10.2538,0.7571,0.5000,0.2571,102.85,20.00,12.62,135.5,-274.5,-968.2,400.0,20.0,5000.0,0.0010,500,150,1.000000,484,243,22,1,1,1
10.3214,0.7575,0.5000,0.2575,103.00,20.00,27.21,150.2,-292.6,-988.0,400.0,20.0,5000.0,0.0010,500,150,1.000000,484,243,22,1,1,1
10.3859,0.7574,0.5000,0.2574,102.95,20.00,-9.68,113.3,-149.8,-997.6,400.0,20.0,5000.0,0.0010,500,150,1.000000,484,243,22,1,1,1
10.4539,0.7570,0.5000,0.2570,102.81,20.00,-25.56,97.2,-92.9,-1003.9,400.0,20.0,5000.0,0.0010,500,150,1.000000,484,243,22,1,1,1
10.5218,0.7572,0.5000,0.2572,102.88,20.00,12.77,135.7,-212.9,-1018.4,400.0,20.0,5000.0,0.0010,500,150,1.000000,484,243,22,1,1,1
